File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF440KMN	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF510BVA/, /files/ENCFF419RSJ/, /files/ENCFF224NNV/, /files/ENCFF829VOR/	74680	ENCODE Processing Pipeline	a935b660b0dc6d69044c43bf15f3c914		https://www.encodeproject.org/files/ENCFF440KMN/@@download/ENCFF440KMN.bed.gz				released	s3://encode-public/2017/02/08/e153f8c4-0d3a-4c30-aacf-2a7bb58e39f5/ENCFF440KMN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/e153f8c4-0d3a-4c30-aacf-2a7bb58e39f5/ENCFF440KMN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF173TXA	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF510BVA/, /files/ENCFF419RSJ/, /files/ENCFF224NNV/, /files/ENCFF829VOR/	185059	ENCODE Processing Pipeline	c395f505b604dfc3a2e6759e674e5857		https://www.encodeproject.org/files/ENCFF173TXA/@@download/ENCFF173TXA.bed.gz				released	s3://encode-public/2017/02/08/40f299a3-9ab6-451d-b6b0-4f1c0dab9f0a/ENCFF173TXA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/40f299a3-9ab6-451d-b6b0-4f1c0dab9f0a/ENCFF173TXA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF779CRV	bam	bam		alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1	1_1		32					/files/ENCFF000YNY/, /files/ENCFF643CGH/	361753558	ENCODE Processing Pipeline	5bac9acabf257870b0dcc4a40cf81ad5		https://www.encodeproject.org/files/ENCFF779CRV/@@download/ENCFF779CRV.bam				released	s3://encode-public/2017/02/08/676a7c14-784a-4f76-987b-4c2fa51cf1cd/ENCFF779CRV.bam	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/676a7c14-784a-4f76-987b-4c2fa51cf1cd/ENCFF779CRV.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF259SDS	bam	bam		unfiltered alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		2	2_1		32					/files/ENCFF000YNZ/, /files/ENCFF643CGH/	755993185	ENCODE Processing Pipeline	0e75540dc5f13f3b410d32a10a9286a4		https://www.encodeproject.org/files/ENCFF259SDS/@@download/ENCFF259SDS.bam				released	s3://encode-public/2017/02/08/ebb87507-1e4f-4c32-a565-10111b956161/ENCFF259SDS.bam	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/ebb87507-1e4f-4c32-a565-10111b956161/ENCFF259SDS.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF510BVA	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1	1_1							/files/ENCFF779CRV/, /files/ENCFF355SGP/	4116494	ENCODE Processing Pipeline	6ea655dbcbd66b25fbd1057e53281e70		https://www.encodeproject.org/files/ENCFF510BVA/@@download/ENCFF510BVA.bed.gz				released	s3://encode-public/2017/02/08/fa47f4ef-e2e0-4ca3-8f46-eeea84318e1c/ENCFF510BVA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/fa47f4ef-e2e0-4ca3-8f46-eeea84318e1c/ENCFF510BVA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF896RKY	bam	bam		unfiltered alignments	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1	1_1		32					/files/ENCFF000YNY/, /files/ENCFF807MUK/	705497799	ENCODE Processing Pipeline	efb32a58ec6cc0e4f354299d72e66d4f		https://www.encodeproject.org/files/ENCFF896RKY/@@download/ENCFF896RKY.bam				released	s3://encode-public/2017/02/14/1d123209-d2c1-4d45-baf7-cee8268c00b5/ENCFF896RKY.bam	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/1d123209-d2c1-4d45-baf7-cee8268c00b5/ENCFF896RKY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF990JRT	bam	bam		alignments	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1	1_1		32					/files/ENCFF000YNY/, /files/ENCFF807MUK/	362157879	ENCODE Processing Pipeline	6271700d48d736a457c31ab5df5a2745		https://www.encodeproject.org/files/ENCFF990JRT/@@download/ENCFF990JRT.bam				released	s3://encode-public/2017/02/14/c428e7e7-92d5-48b8-b83d-169c3ef1993a/ENCFF990JRT.bam	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/c428e7e7-92d5-48b8-b83d-169c3ef1993a/ENCFF990JRT.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF778HCA	bam	bam		alignments	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		2	2_1		32					/files/ENCFF000YNZ/, /files/ENCFF807MUK/	360015772	ENCODE Processing Pipeline	be39b4edc4c7a2e7b1c2248a710c464f		https://www.encodeproject.org/files/ENCFF778HCA/@@download/ENCFF778HCA.bam				released	s3://encode-public/2017/02/14/7bf23420-4d13-4c3b-ba0e-2ac9e3bba497/ENCFF778HCA.bam	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/7bf23420-4d13-4c3b-ba0e-2ac9e3bba497/ENCFF778HCA.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF358BOB	bam	bam		unfiltered alignments	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		2	2_1		32					/files/ENCFF000YNZ/, /files/ENCFF807MUK/	754520198	ENCODE Processing Pipeline	285b51da69ac9bb93129db5d29bd013f		https://www.encodeproject.org/files/ENCFF358BOB/@@download/ENCFF358BOB.bam				released	s3://encode-public/2017/02/14/b52fa2de-14e9-486d-9575-f719219f9816/ENCFF358BOB.bam	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/b52fa2de-14e9-486d-9575-f719219f9816/ENCFF358BOB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF732HOE	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF163ZFQ/, /files/ENCFF001TDO/, /files/ENCFF717ZNF/, /files/ENCFF061TTI/	185950	ENCODE Processing Pipeline	0a5986cb974e654436fe293de05e5274		https://www.encodeproject.org/files/ENCFF732HOE/@@download/ENCFF732HOE.bed.gz				released	s3://encode-public/2017/02/14/3e47b0dc-578a-476a-9d65-7c6d7ae33cc6/ENCFF732HOE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/3e47b0dc-578a-476a-9d65-7c6d7ae33cc6/ENCFF732HOE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF717ZNF	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF778HCA/, /files/ENCFF051ZZR/, /files/ENCFF990JRT/	5049856	ENCODE Processing Pipeline	4b8b4d5a7dc25ccddf6939ee2c2f2b65		https://www.encodeproject.org/files/ENCFF717ZNF/@@download/ENCFF717ZNF.bed.gz				released	s3://encode-public/2017/02/14/b70f71de-76c2-489d-a5a1-7a2637c65388/ENCFF717ZNF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/b70f71de-76c2-489d-a5a1-7a2637c65388/ENCFF717ZNF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF727SRR	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF163ZFQ/, /files/ENCFF001TDO/, /files/ENCFF717ZNF/, /files/ENCFF061TTI/	74527	ENCODE Processing Pipeline	37886e11895c8e10ce30d0389d587035		https://www.encodeproject.org/files/ENCFF727SRR/@@download/ENCFF727SRR.bed.gz				released	s3://encode-public/2017/02/14/de175a95-004e-42f3-b15c-ab7890412442/ENCFF727SRR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/de175a95-004e-42f3-b15c-ab7890412442/ENCFF727SRR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF061TTI	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1	1_1							/files/ENCFF051ZZR/, /files/ENCFF990JRT/	4134004	ENCODE Processing Pipeline	460d8efe582bd8ac3d839aaaa1cb871e		https://www.encodeproject.org/files/ENCFF061TTI/@@download/ENCFF061TTI.bed.gz				released	s3://encode-public/2017/02/14/f73b2f66-e7cc-4bc9-90a0-8e3f0981a6b1/ENCFF061TTI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/f73b2f66-e7cc-4bc9-90a0-8e3f0981a6b1/ENCFF061TTI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF163ZFQ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		2	2_1							/files/ENCFF778HCA/, /files/ENCFF051ZZR/	2818433	ENCODE Processing Pipeline	c6f4e290a05030a7b7d4cb89d6b57354		https://www.encodeproject.org/files/ENCFF163ZFQ/@@download/ENCFF163ZFQ.bed.gz				released	s3://encode-public/2017/02/14/eab00937-2619-4fba-a9dd-0a729cf92865/ENCFF163ZFQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/eab00937-2619-4fba-a9dd-0a729cf92865/ENCFF163ZFQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF231POZ	bam	bam		alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		2	2_1		28					/files/ENCFF110MCL/, /files/ENCFF000YNZ/	358805845	ENCODE Processing Pipeline	128124975d852150b032aa6bac45b30e		https://www.encodeproject.org/files/ENCFF231POZ/@@download/ENCFF231POZ.bam				released	s3://encode-public/2020/12/10/e1fc846d-a4df-4593-89bf-dadfd63e209f/ENCFF231POZ.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/e1fc846d-a4df-4593-89bf-dadfd63e209f/ENCFF231POZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF325NYZ	bam	bam		alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1	1_1		28					/files/ENCFF000YNY/, /files/ENCFF110MCL/	344724462	ENCODE Processing Pipeline	4e397d27b61b99d9fac293d794364dd4		https://www.encodeproject.org/files/ENCFF325NYZ/@@download/ENCFF325NYZ.bam				released	s3://encode-public/2020/12/10/a24f026b-d58f-4594-bc24-95a8566f6589/ENCFF325NYZ.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/a24f026b-d58f-4594-bc24-95a8566f6589/ENCFF325NYZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF084LQC	bam	bam		unfiltered alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1	1_1		28					/files/ENCFF000YNY/, /files/ENCFF110MCL/	630971909	ENCODE Processing Pipeline	ec11092b8e56d361149c4dd5a7381105		https://www.encodeproject.org/files/ENCFF084LQC/@@download/ENCFF084LQC.bam				released	s3://encode-public/2020/12/10/80e3e10c-a47a-44ad-a137-51c15cc505fe/ENCFF084LQC.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/80e3e10c-a47a-44ad-a137-51c15cc505fe/ENCFF084LQC.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
