File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Experiment target	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF465UWC	bam	bam		alignments	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	1	1_1		36					/files/ENCFF110MCL/, /files/ENCFF000BYO/	996560628	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF465UWC/@@download/ENCFF465UWC.bam				released	s3://encode-public/2020/11/01/145607d5-96b1-44e6-89da-0ea5b6671893/ENCFF465UWC.bam	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/145607d5-96b1-44e6-89da-0ea5b6671893/ENCFF465UWC.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	archived	inconsistent platforms, matching md5 sums, low read length	insufficient read depth, control insufficient read depth	
ENCFF827OVS	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	1	1_1							/files/ENCFF666YXZ/, /files/ENCFF420ARY/, /files/ENCFF465UWC/, /files/ENCFF356LFX/, /files/ENCFF226FKB/	1746234	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF827OVS/@@download/ENCFF827OVS.bed.gz				released	s3://encode-public/2020/11/01/8458780c-bcd7-4326-be35-be0e32173951/ENCFF827OVS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/8458780c-bcd7-4326-be35-be0e32173951/ENCFF827OVS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	archived	inconsistent platforms, matching md5 sums, low read length	insufficient read depth, control insufficient read depth	
ENCFF533FKX	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	2	2_1							/files/ENCFF666YXZ/, /files/ENCFF420ARY/, /files/ENCFF356LFX/, /files/ENCFF226FKB/, /files/ENCFF863HNL/	1573437	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF533FKX/@@download/ENCFF533FKX.bed.gz				released	s3://encode-public/2020/11/01/bd018db5-5539-4d6e-b5fb-ef72995a68af/ENCFF533FKX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/bd018db5-5539-4d6e-b5fb-ef72995a68af/ENCFF533FKX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	archived	inconsistent platforms, matching md5 sums, low read length	insufficient read depth, control insufficient read depth	
ENCFF945LQZ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	1, 2	1_1, 2_1							/files/ENCFF666YXZ/, /files/ENCFF420ARY/, /files/ENCFF465UWC/, /files/ENCFF356LFX/, /files/ENCFF226FKB/, /files/ENCFF863HNL/	1808877	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF945LQZ/@@download/ENCFF945LQZ.bed.gz				released	s3://encode-public/2020/11/01/f8e7add2-2fdd-4d86-a855-52810c83915e/ENCFF945LQZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/f8e7add2-2fdd-4d86-a855-52810c83915e/ENCFF945LQZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	archived	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF636OGE	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	1, 2	1_1, 2_1							/files/ENCFF666YXZ/, /files/ENCFF420ARY/, /files/ENCFF465UWC/, /files/ENCFF356LFX/, /files/ENCFF226FKB/, /files/ENCFF863HNL/	1748375	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF636OGE/@@download/ENCFF636OGE.bed.gz				released	s3://encode-public/2020/11/01/fa8d4add-a270-4bf6-9ad0-2b60ede17e9a/ENCFF636OGE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/fa8d4add-a270-4bf6-9ad0-2b60ede17e9a/ENCFF636OGE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	archived	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF296QNV	fastq	fastq		reads		ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	3	3_1	36		single-ended					667716562	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF296QNV/@@download/ENCFF296QNV.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2022/05/13/cb2c3f21-7bf3-4be4-9a31-48681bdd5186/ENCFF296QNV.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/cb2c3f21-7bf3-4be4-9a31-48681bdd5186/ENCFF296QNV.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			inconsistent platforms, low read length, missing controlled_by	insufficient read depth, control insufficient read depth	
ENCFF946WKP	fastq	fastq		reads		ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	3	3_1	36		single-ended					654165172	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF946WKP/@@download/ENCFF946WKP.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2022/05/13/6a1b6d82-69e3-4a52-988d-ef21ebcf5f8a/ENCFF946WKP.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/6a1b6d82-69e3-4a52-988d-ef21ebcf5f8a/ENCFF946WKP.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			inconsistent platforms, low read length, missing controlled_by	insufficient read depth, control insufficient read depth	
ENCFF677CFG	bam	bam		unfiltered alignments	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	1	1_1		36					/files/ENCFF110MCL/, /files/ENCFF000BYO/	1454235591	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF677CFG/@@download/ENCFF677CFG.bam				released	s3://encode-public/2022/06/16/827755a0-0780-44b9-b857-46fad0a4df36/ENCFF677CFG.bam	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/827755a0-0780-44b9-b857-46fad0a4df36/ENCFF677CFG.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF424SZB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	1	1_1							/files/ENCFF711PLM/, /files/ENCFF226FKB/, /files/ENCFF356LFX/, /files/ENCFF666YXZ/, /files/ENCFF420ARY/	1746234	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF424SZB/@@download/ENCFF424SZB.bed.gz				released	s3://encode-public/2022/06/16/ae0ac7b7-fc5c-4d7a-aa4d-b685ac498dce/ENCFF424SZB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/ae0ac7b7-fc5c-4d7a-aa4d-b685ac498dce/ENCFF424SZB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, matching md5 sums, low read length	insufficient read depth, control insufficient read depth	
ENCFF779NIF	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	1, 2, 2003	1_1, 2_1, 3_1							/files/ENCFF711PLM/, /files/ENCFF132YSI/, /files/ENCFF649PBO/, /files/ENCFF226FKB/, /files/ENCFF356LFX/, /files/ENCFF666YXZ/, /files/ENCFF420ARY/	1692469	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF779NIF/@@download/ENCFF779NIF.bed.gz				released	s3://encode-public/2022/06/16/a52d9818-5f02-4e6a-b7fe-fc519f65bb91/ENCFF779NIF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/a52d9818-5f02-4e6a-b7fe-fc519f65bb91/ENCFF779NIF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF832FHS	bam	bam		unfiltered alignments	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	2	2_1		36					/files/ENCFF110MCL/, /files/ENCFF000BYS/	953498635	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF832FHS/@@download/ENCFF832FHS.bam				released	s3://encode-public/2022/06/16/19fcbffd-dafb-4a5d-adfa-69a9046e72da/ENCFF832FHS.bam	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/19fcbffd-dafb-4a5d-adfa-69a9046e72da/ENCFF832FHS.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF711PLM	bam	bam		alignments	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	1	1_1		36					/files/ENCFF110MCL/, /files/ENCFF000BYO/	996560628	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF711PLM/@@download/ENCFF711PLM.bam				released	s3://encode-public/2022/06/16/ec4bf107-41a9-4f00-a9f2-2a895f08eb65/ENCFF711PLM.bam	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/ec4bf107-41a9-4f00-a9f2-2a895f08eb65/ENCFF711PLM.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, matching md5 sums, low read length	insufficient read depth, control insufficient read depth	
ENCFF341ZPT	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	2	2_1							/files/ENCFF649PBO/, /files/ENCFF420ARY/, /files/ENCFF356LFX/, /files/ENCFF666YXZ/, /files/ENCFF226FKB/	1573437	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF341ZPT/@@download/ENCFF341ZPT.bed.gz				released	s3://encode-public/2022/06/16/a25402ea-bd27-4245-8ad2-b5d052edcc2a/ENCFF341ZPT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/a25402ea-bd27-4245-8ad2-b5d052edcc2a/ENCFF341ZPT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, matching md5 sums, low read length	insufficient read depth, control insufficient read depth	
ENCFF649PBO	bam	bam		alignments	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	2	2_1		36					/files/ENCFF110MCL/, /files/ENCFF000BYS/	606453902	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF649PBO/@@download/ENCFF649PBO.bam				released	s3://encode-public/2022/06/16/40319d93-f751-40e6-b1b7-c0aa41f3775e/ENCFF649PBO.bam	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/40319d93-f751-40e6-b1b7-c0aa41f3775e/ENCFF649PBO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, matching md5 sums, low read length	insufficient read depth, control insufficient read depth	
